,curr_longitude,prev_latitude,curr_latitude,prev_longitude
416,4.848414,52.35253,52.35051,4.8563600000000005
297,4.865248,52.351809,52.35052,4.864058
296,4.886216,52.35118,52.353998,4.85255
344,4.885874,52.3491,52.352109,4.88398
381,4.86584,52.355107,52.34679,4.867474
270,4.846139,52.34021,52.347486,4.84549
385,4.879747,52.346074,52.348962,4.863927
116,4.868737,52.353938,52.354633,4.883197
387,4.846279,52.34685,52.349546,4.86575
79,4.869374,52.347999,52.346659,4.884436
379,4.860491,52.348931,52.343643,4.879907
252,4.871615,52.34655,52.354538,4.8691
147,4.859915,52.35092,52.349838,4.86087
131,4.876813,52.35382,52.347631,4.86916
298,4.863154,52.3523,52.353134,4.85612
176,4.8854679999999995,52.35554,52.353855,4.87109
135,4.886173,52.35766,52.354461,4.87401
154,4.846418,52.34973,52.349546,4.85988
440,4.8809190000000005,52.36011,52.354263,4.8770500000000006
0,4.875096,52.35658,52.35459,4.87545
405,4.853884,52.35247,52.355245,4.85607
79,4.8644169999999995,52.34656,52.353626,4.86943
190,4.876396,52.3518,52.346992,4.8733
19,4.863755,52.355584,52.352689,4.867817
356,4.8686300000000005,52.35252,52.348425,4.88182
385,4.857419,52.342255,52.352061,4.84598
261,4.860462,52.34828,52.348788,4.87489
183,4.856397,52.33932,52.352063,4.84521
309,4.87591,52.35052,52.348759,4.865248
167,4.884253,52.3539,52.354235,4.88547
88,4.864221,52.34235,52.34602,4.84349
267,4.859185,52.348788,52.345288,4.860462
301,4.882286,52.35364,52.352548,4.8554
276,4.884477,52.349127,52.360757,4.851174
300,4.880759,52.35401,52.355505,4.886273
391,4.863484,52.35191,52.353426,4.85774
413,4.8866060000000004,52.350264,52.353842,4.848434
181,4.853136,52.352092,52.34555,4.856249
239,4.848513,52.35238,52.352933,4.856
163,4.870808,52.35891,52.355873,4.87828
425,4.8705169999999995,52.361862,52.347702,4.882242
82,4.851558,52.348947,52.349885,4.859735
15,4.8993400000000005,52.349736,52.35209,4.851569
166,4.89444,52.35198,52.35253,4.87348
238,4.89161,52.353202,52.35101,4.8600449999999995
269,4.89087,52.34753,52.346473,4.84606
391,4.90068,52.3534,52.35406,4.8635
82,4.895377,52.349885,52.351458,4.851558
224,4.89067,52.34222,52.35549,4.89433
141,4.901217,52.35624,52.349473,4.89436
257,4.901241,52.35669,52.349485,4.892744
212,4.89105,52.35431,52.352375,4.84727
400,4.898472,52.34094,52.347589,4.84347
372,4.901029,52.3556,52.352101,4.89031
352,4.902843,52.359969,52.341494,4.886865
325,4.906641,52.353213,52.351426,4.907408
179,4.890517,52.354235,52.346946,4.884253
374,4.8880230000000005,52.35214,52.354205,4.88598
339,4.890409,52.3525,52.356212,4.8849
231,4.900234,52.34328,52.343048,4.85842
293,4.893866,52.35385,52.350497,4.8831500000000005
137,4.891772,52.34949,52.350801,4.90119
286,4.912613,52.35054,52.343683,4.89398
140,4.900865,52.35081,52.344813,4.89165
96,4.910927,52.34933,52.343989,4.86033
243,4.889884,52.351061,52.350527,4.89163
310,4.912544,52.34759,52.343823,4.87703
80,4.911064,52.35358,52.344088,4.86439
361,4.905673,52.349501,52.346095,4.897965
293,4.891233,52.3458,52.358186,4.85631
138,4.89235,52.34482,52.33763,4.90091
95,4.8880300000000005,52.34404,52.35096,4.91096
359,4.896908,52.35937,52.35702,4.87999
390,4.906838,52.348962,52.353053,4.879747
396,4.90273,52.353053,52.35263,4.906838
414,4.901579,52.357764,52.354199,4.901216
419,4.908684,52.35179,52.343363,4.86161
384,4.91122,52.35596,52.347422,4.87075
377,4.898995,52.34627,52.348041,4.90576
294,4.897123,52.35883,52.341078,4.8865300000000005
416,4.892451,52.353842,52.339414,4.8866060000000004
130,4.909902,52.35081,52.341608,4.87897
380,4.901969,52.34812,52.338526,4.89898
412,4.892889,52.35433,52.353124,4.90167
424,4.898364,52.36179,52.355464,4.8822
21,4.898255,52.35338,52.357772,4.85442
303,4.902569,52.346,52.356733,4.90298
295,4.901926,52.353134,52.358294,4.863154
0,4.910242,52.35455,52.3485,4.87495
20,4.889082,52.353137,52.347482,4.893479
92,4.891883,52.341311,52.344779,4.856516
297,4.899402,52.341,52.34263,4.89708
262,4.891633,52.340078,52.350845,4.851181
249,4.896895,52.35465,52.341082,4.87169
128,4.9085,52.34752,52.347891,4.87697
129,4.90015,52.35226,52.351283,4.85641
432,4.8977900000000005,52.34768,52.356072,4.87047
84,4.903073,52.35162,52.355163,4.89567
422,4.896759,52.34013,52.347029,4.8455
169,4.9047789999999996,52.34612,52.340695,4.86561
271,4.908196,52.346864,52.347054,4.847764
404,4.906737,52.347029,52.341976,4.896759
289,4.896468,52.35674,52.356758,4.90268
133,4.899147,52.345091,52.347013,4.854836
131,4.900008,52.3381,52.348192,4.89228
57,4.906709,52.34415,52.341967,4.89112
295,4.8949,52.35245,52.355443,4.88186
181,4.898648,52.34886,52.354948,4.87703
400,4.89369,52.3617,52.357324,4.88265
296,4.893733,52.356758,52.354585,4.896468
406,4.89522,52.356,52.34242,4.89777
343,4.904417,52.34006,52.345911,4.85112
256,4.893919,52.350845,52.353829,4.891633
278,4.891225,52.34263,52.344155,4.899402
296,4.89593,52.354585,52.357157,4.893733
411,4.904571,52.341976,52.341401,4.906737
296,4.887919,52.35433,52.357492,4.86936
136,4.891414,52.3469,52.356049,4.899
309,4.894744,52.35369,52.346224,4.87154
125,4.905963,52.34005,52.3546,4.85117
391,4.902073,52.354368,52.34235,4.886226
439,4.901704,52.354177,52.358102,4.884319
221,4.910911,52.35622,52.344878,4.9032
327,4.904911,52.34688,52.352538,4.87549
149,4.89902,52.34959,52.351702,4.84623
356,4.910881,52.35185,52.347784,4.90129
172,4.901795,52.34703,52.357269,4.8905
416,4.901837,52.33948,52.353855,4.89227
124,4.901675,52.345,52.348449,4.8725000000000005
348,4.901795,52.35526,52.358195,4.88975
414,4.904738,52.34491,52.34639,4.8544789999999995
138,4.896254,52.35611,52.348566,4.89146
305,4.891649,52.34723,52.354177,4.86393
11,4.890363,52.34702,52.355283,4.8762
319,4.888496,52.34587,52.355125,4.86361
47,4.902535,52.35419,52.353115,4.84715
245,4.893805,52.34101,52.354481,4.8970400000000005
382,4.890852,52.35555,52.345452,4.89081
412,4.89959,52.35557,52.3573,4.89829
154,4.892742,52.3528,52.357343,4.8974
409,4.89179,52.35735,52.356169,4.89355
202,4.889299,52.352377,52.350794,4.88672
414,4.903408,52.35389,52.348648,4.90184
10,4.89323,52.35734,52.355945,4.89043
137,4.908323,52.34844,52.343881,4.89616
394,4.893507,52.34766,52.34215,4.89856
414,4.907331,52.35729,52.343363,4.89956
297,4.891325,52.35552,52.35251,4.88028
169,4.889037,52.34067,52.345753,4.9049
321,4.892122,52.3527,52.352802,4.9048300000000005
57,4.897756,52.340727,52.351711,4.902837
309,4.893348,52.352909,52.355954,4.880921
426,4.894168,52.3433,52.343132,4.90866
178,4.897866,52.354729,52.355858,4.855273
298,4.902598,52.343325,52.342788,4.912727
408,4.890667,52.356169,52.346896,4.89179
278,4.903936,52.35889,52.340665,4.88658
243,4.910833,52.347616,52.347765,4.878728
46,4.840143,52.3525,52.388501,4.8837600000000005
392,4.84013,52.35263,52.388302,4.90273
155,4.840073,52.34834,52.38847,4.8496
69,4.83554,52.38503,52.38746,4.83521
151,4.836638,52.356699,52.388054,4.8898600000000005
335,4.836665,52.34829,52.387884,4.8674800000000005
68,4.83748,52.38782,52.38809,4.83594
420,4.84014,52.35687,52.388452,4.88884
41,4.92321,52.35779,52.387467,4.9032
252,4.928237,52.39141,52.38582,4.91289
396,4.920123,52.38566,52.388867,4.928
7,4.9031649999999996,52.40115,52.384706,4.89231
317,4.92827,52.388587,52.385829,4.919306
123,4.903217,52.39104,52.384711,4.91211
150,4.927335,52.38847,52.386298,4.840073
9,4.892344,52.38466,52.40117,4.90312
57,4.892374,52.40539,52.401196,4.89079
118,4.918819,52.38472,52.385437,4.90309
347,4.890766,52.40438,52.405317,4.89
340,4.912734,52.3865,52.391174,4.9269300000000005
326,4.903306,52.38579,52.384689,4.91885
154,4.9032029999999995,52.38626,52.384892,4.92737
317,4.918606,52.38588,52.389335,4.92834
131,4.890827,52.38486,52.405189,4.9034
22,4.95341,52.357772,52.3687,4.898255
85,4.93812,52.388427,52.37641,4.840123
232,4.9353,52.3569,52.36383,4.89096
350,4.931888,52.3549,52.362381,4.893050000000001
409,4.9226,52.34703,52.37965,4.8906
316,4.938869,52.346477,52.377203,4.9082609999999995
84,4.92671,52.34071,52.375576,4.90273
4,4.939141,52.37535,52.363758,4.92933
35,4.936796,52.350568,52.374031,4.904651
427,4.953442,52.342531,52.369162,4.895128
4,4.92838,52.363758,52.37589,4.939141
294,4.953055,52.35827,52.368771,4.89119
23,4.9392700000000005,52.368715,52.367883,4.953414
32,4.935289,52.37398,52.374258,4.9366900000000005
423,4.9392759999999996,52.36913,52.368827,4.9534
347,4.940279,52.36238,52.368078,4.931888
79,4.946995,52.35212,52.371747,4.89556
350,4.942827,52.36803,52.368285,4.94053
185,4.939175,52.3538,52.361677,4.88965
281,4.941501,52.36873,52.372902,4.95319
202,4.939275,52.35393,52.367407,4.90388
422,4.938975,52.35826,52.36373,4.90186
123,4.939292,52.34795,52.367434,4.9087
438,4.9291,52.37499,52.37393,4.92928
185,4.950469,52.373861,52.369312,4.938217
296,4.935978,52.35246,52.363127,4.89125
145,4.93771,52.35157,52.376467,4.899222
187,4.9467859999999995,52.36919,52.368777,4.95043
33,4.99054,52.37372,52.35729,4.9381900000000005
137,4.96424,52.34451,52.37367,4.895023
207,4.966947,52.36871,52.373833,4.95118
60,4.964264,52.351711,52.37339,4.897756
219,4.995112,52.36266,52.355543,4.97989
95,4.990682,52.36374,52.357359,4.93354
47,4.990671,52.348161,52.357937,5.012156
331,4.9907319999999995,52.35519,52.357898,4.99555
21,4.90994,52.37953,52.3778,4.9229
39,4.90672,52.37417,52.37809,4.93539
61,4.9021,52.356783,52.36672,4.883991
64,4.89868,52.34201,52.36536,4.90682
135,4.9078,52.34375,52.37245,4.9086
162,4.90324,52.388403,52.36377,4.840124
165,4.91573,52.37629,52.3682,4.92218
183,4.91177,52.368777,52.3667,4.9467859999999995
188,4.90567,52.352868,52.36019,4.894918
196,4.90078,52.373813,52.37024,4.966879
215,4.90304,52.344918,52.3735,4.910823
218,4.9044,52.35674,52.37418,4.89633
248,4.9077,52.34721,52.37165,4.90202
257,4.91361,52.37649,52.3656,4.92137
304,4.90175,52.3554,52.371837,4.89523
314,4.9042200000000005,52.34621,52.36489,4.89466
378,4.91626,52.347422,52.37149,4.91122
387,4.89364,52.352154,52.36508,4.847679
414,4.89849,52.34338,52.36539,4.90758
417,4.91158,52.34133,52.36611,4.9047600000000005
425,4.90993,52.356114,52.36309,4.89217
434,4.9122900000000005,52.36373,52.36196,4.938975
168,4.917864,52.35586,52.367628,4.8979
279,4.904703,52.340665,52.374313,4.903936
414,4.902915,52.34869,52.375075,4.90333
440,4.897368,52.3419,52.36708,4.90899
147,4.906915,52.357473,52.360908,4.898528
385,4.89697,52.35218,52.36912,4.8753
313,4.903058,52.371837,52.363806,4.90175
412,4.922895,52.3554,52.366827,4.89003
389,4.9265,52.38629,52.366882,4.92739
55,4.906293,52.3593,52.373546,4.88764
455,4.922214,52.36712,52.368952,4.89736
455,4.903636,52.3689,52.374409,4.92221
227,4.887073,52.3735,52.361449,4.90304
396,4.906577,52.40399,52.376042,4.88863
136,4.903638,52.37246,52.368731,4.90779
326,4.908223,52.341459,52.375542,4.902813
137,4.908037,52.368731,52.371534,4.903638
220,4.906823,52.36369,52.363638,4.93538
159,4.915698,52.342834,52.368295,4.907506
34,4.924502,52.35729,52.366889,4.99054
210,4.9116800000000005,52.36935,52.371188,4.9278
155,4.898641,52.35237,52.36545,4.85058
324,4.8889,52.35525,52.366854,4.88849
